skuCode,skuName,trialServiceUrl
2743350,家乐辣鲜露调味料6x448g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jllxl
2118294,家乐薄盐劲鲜鸡精调味料10X900G,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlbyjxjj
2118286,家乐薄盐鲜鸡精调味料10X900G,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlbyxjj
9000004,家乐鲜麻辣鲜露调味料6x468g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlxmlxl
9000023,家乐火辣干锅酱调味料6x500g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlhlggj
9000022,家乐海皇爆炒酱调味料6x500g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlhhbcj
2324130,家乐和味烧汁调味料6x2.5kg,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlhwsz
9000031,家乐青花椒麻辣酱6*500g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlqhjmlj
0302129,家乐香浓鸡鲜粉6*1千克,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlxnjxf
0313129,家乐美味鸡鲜粉6*1千克,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlmwjxf
2320150,家乐双蚝蚝油12X850G,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlshhy
0700119,家乐浓缩鸡汁6*1kg,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlnsjz
2317141,家乐煲仔酱调味料 6X500G,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlbzj
2317140,家乐海鲜酱调味料 6X500G,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlhxj
2315080,家乐鲜露调味料6x980g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlxl
2118288,家乐薄盐鲜鸡精调味料清真10X900G,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/qzbyxjj
9000033,家乐泡椒仔姜酱6*480g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlpjzjj
2314130,家乐黑胡椒汁调味料6x2.3kg,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlhhjz
2317142,家乐浓缩卤水汁调味料2X3X1050G,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlnslsz
9000024,家乐香辣红汤酱调味料6x980g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlxlhtj
2802070,家乐真味海珍酱调味料12x310g,https://www.unileverfoodsolutions.com.cn/ufsPc.html#/brands-products/product-list/jlzwhzj
1412079,家乐厨师浓汤2*3*800g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlcsnt
2106269,家乐酸辣鲜露调味料6x468g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlslxl
2806059,家乐香茅酱12*320g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlynfwxmj
0817079,家乐真味高汤6*830g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlzwgt
2106268,家乐香辣鲜露调味料6x468g,https://www.unileverfoodsolutions.com.cn/ufsPc.html#/brands-products/product-list/jlxlxl
1234119,家乐香炸裹粉(鲜蒜风味)12*800g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlxsgf
0204081,家乐自然鸡汤粉金罐 6X1KG,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlzrjtf
1236119,家乐香炸裹粉(鲜辣风味)12*800g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlxlgf
2155069,家乐黄汁粉6*800g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlhzf
2136169,家乐意式番茄风味汁粉调味料6x700g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlysfqfwzf
1164059,家乐泰国风味冬阴功酱12*320g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jltsdygj
2700310,家乐海味鲜露调味料6x468g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlhwxl
1152059,家乐印尼风味桑巴酱调味料12x310g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlynfwsbj
2400139,家乐番茄沙司6*3.25kg,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlfqss
2156069,家乐基础白汁底6*800g,https://www.unileverfoodsolutions.com.cn/ufsPc.html#/brands-products/product-list/jlbzf
2028331,家乐鹰粟粉玉米淀粉(D)12×1kg,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlylf
0736120,家乐浓缩瑶柱汁 12x480g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlnsyzz
0206120,家乐醇香一品汤6x600g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlcxypt
6726780,罗拔臣明胶（纯鱼胶粉)24X500G,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/lbcmj
0755120,家乐浓缩火腿汁 12x480g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlnshtz
0719120,家乐浓缩牛肉汁12x480g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlnsnrz
1150059,家乐风味炒料－孜然辣酱12*310g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlydfwzrlj
0302149,家乐香鸡鲜粉6*1千克,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlxjxf
9000035,家乐混椒香辣酱6*500g,https://www.unileverfoodsolutions.com.cn/brands-products.html#/brands-products/product-list/jlhjxlj
